,Number,Country,Total Cases,Total Deaths,Total Recovered,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population,Continent
0,1,USA,106613321,1159697,104533271,318434,3464,1176758558,3514755,334805269,North America
1,2,India,44924811,531424,44335977,31938,378,925077322,657654,1406631776,Asia
2,3,France,39974426,166425,39669392,609510,2538,271490188,4139547,65584518,Europe
3,4,Germany,38400766,172882,38189800,457786,2061,122332384,1458359,83883596,Europe
4,5,Brazil,37449418,701494,36249161,173897,3257,63776166,296146,215353593,South America
5,6,Japan,33689542,74467,21725273,268261,593,99912333,795576,125584838,Asia
6,7,S. Korea,31129070,34460,30879606,606451,671,15804065,307892,51329899,Asia
7,8,Italy,25765219,189582,25439463,427548,3146,271116017,4498897,60262770,Europe
8,9,UK,24555629,221943,24305452,358487,3240,522526476,7628357,68497907,Europe
9,10,Russia,22833330,398208,22229208,156601,2731,273400000,1875095,145805947,Europe
11,12,Spain,13825052,120715,13665628,295918,2584,471036328,10082298,46719142,Europe
12,13,Vietnam,11554875,43188,10619813,116771,436,85826548,867342,98953541,Asia
13,14,Australia,11411267,20154,11342700,437737,773,78835048,3024116,26068792,Australia/Oceania
14,17,Netherlands,8610372,22992,8585514,500270,1336,25984435,1509718,17211447,Europe
15,18,Iran,7606689,146005,7342490,88426,1697,55353767,643478,86022837,Asia
16,19,Mexico,7579201,333802,6825496,57609,2537,19903879,151288,131562772,North America
17,20,Indonesia,6769005,161221,6596655,24250,578,114158919,408975,279134505,Asia
18,21,Poland,6513264,119546,5335940,172583,3168,38655786,1024271,37739785,Europe
19,22,Colombia,6364014,142706,6186783,123542,2770,36951507,717327,51512762,South America
20,23,Austria,6063303,22355,6029345,668743,2466,211273524,23302116,9066710,Europe
21,24,Greece,5999934,36711,5945095,581578,3558,102228365,9909078,10316637,Europe
22,25,Portugal,5580792,26550,5548480,550343,2618,46082209,4544341,10140570,Europe
23,26,Ukraine,5502019,111912,5373024,127385,2591,32603805,754855,43192122,Europe
24,27,Chile,5283280,64497,5217926,274453,3350,49362969,2564284,19250195,South America
25,28,Malaysia,5066877,37011,5015705,152704,1115,68344917,2059756,33181072,Asia
26,29,Israel,4821234,12484,4798473,516967,1339,41373364,4436346,9326000,Asia
27,30,Belgium,4790564,34188,4738746,410563,2930,36997339,3170763,11668278,Europe
28,32,Thailand,4730490,33947,4692636,67503,484,17270775,246450,70078203,Asia
29,33,Canada,4641301,52247,4575934,120904,1361,66343123,1728207,38388419,North America
30,34,Czechia,4640019,42760,4593938,432161,3983,57173927,5325051,10736784,Europe
31,35,Peru,4500578,220104,4276792,133611,6534,38521551,1143609,33684208,South America
